Avis_efficacite_travail_confine,lieu_confinement,variation_temps_travail_conf,nbre_personne_dans_lieu_conf,efficacite_consignes_teletravaildonne_par_employeur,progression_sur_outils_collaboratifs,age,eval_suivi_actualite,frequence_sortir_en_semaine,eval_frequence_interaction_avec_collegues_enconf,evaluation_condition_travail_avant_conf,Consequence_negatives_teletravailconfines,impact_confinnement_relations_avec_confines,nature_travail,nbre_enfants_moins_12,eval_contact_avec_famille,isolation_pour travailler,evaluation_concentration_enconf,avantage_teletravail_confin,fréquence_téletravail_avant_conf,reamenagement_heures_travails_habituels,evaluation_manger,evaluatuin_boire_alcool,evaluation_condition_travail_apres_debut_conf,inquiet_sur_perennite_acauseCovid,taille_entreprise,nbre_resident_enresidence_principal,aimer_continuer_teltravail_enfutur,tempstransport_maison_entreprise,activite_sportif,statut_professionnel,soin_apparence_en_conf,contraries_lies_covid19,genre,acces_surface_exterieur,surface_lieu_confinement,satisfaction_equipement_bureautique,region,cause_distraction,longitude,latitude,nbre_personne_symptem_covid,apprend_de_cette_experience,eval_bien_etre_apres_conf,eval_bien_etre_avant_conf,statut_familial
1,Chez un membre de votre famille,4,4.0,5,"Non, je les utilisais déjà beaucoup",20.0,3,Une fois par jour,2,5,"Vous vous sentez isolé.e,Vous avez l'impression de ne jamais vous arrêter de travailler,La communication avec vos collègues est moins fluide","Oui, on est plus proches","Manager des équipes ou des projets,Vous travaillez seul la plupart du temps",1.0,5,Oui,3,"Vous êtes plus concentré.e sur votre travail, Vous en profitez pour apprendre de nouvelles choses, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Exceptionnellement,"Mon travail est plus étalé sur la journée, le soir et même le weekend",4,3,5,Un peu,Petite et moyenne entreprise (10 à 250 salariés),3.0,Comme avant (si vous en faisiez déjà),De 10 à 30min,3,Cadre ou profession intellectuelle supérieure,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir aller au bureau",Un homme,"Oui, un jardin",200.0,5,11,"La situation liée au Covid 19,Vous regardez très régulièrement l'actualité,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",2.50339683029,48.6889749341,Aucune,"A télétravailler, A être plus autonome",4.0,5.0,Célibataire
2,Dans votre résidence secondaire,3,2.0,3,Un peu,36.0,3,Une fois par jour,3,3,Vous vous sentez isolé.e,"Oui, on est plus proches",Manager des équipes ou des projets,0.0,2,Oui,4,"Vous êtes plus concentré.e sur votre travail, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",1 fois par semaine,Non,3,3,4,Beaucoup,Entreprise de taille intermédiaire (250 à 5000 salariés),0.0,"Oui, une fois de temps en temps",De 10 à 30min,4,Profession libérale ou dirigeant,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir aller chez le coiffeur,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Ne pas pouvoir aller au bureau",Une femme,"Oui, un jardin",140.0,3,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.6889749341,Aucune,A télétravailler,3.0,3.0,En couple mais nous ne sommes pas confinés ensemble
2,Dans votre domicile,2,4.0,1,"Non, je les utilisais déjà beaucoup",46.0,3,Une fois dans la semaine ou moins,1,3,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,La communication avec vos collègues est moins fluide",C'est pareil,"Travailler en équipe,Manager des équipes ou des projets",1.0,4,Oui,2,"Vous en profitez pour apprendre de nouvelles choses, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Exceptionnellement,"Mon travail est plus étalé sur la journée, le soir et même le weekend",3,4,3,Non pas du tout,Institution publique,3.0,"Oui, une fois de temps en temps",De 10 à 30min,3,Cadre ou profession intellectuelle supérieure,3,La santé de vos proches,Un homme,"Oui, un jardin",120.0,4,11,"La présence d'autres personnes,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les tâches ménagères",2.50339683029,48.6889749341,1-3 personnes,Rien,3.0,3.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,3,5.0,4,Beaucoup,41.0,3,Un jour sur deux ou moins,5,5,"C'est difficile de se concentrer,La communication avec vos collègues est moins fluide","Oui, on est plus proches",Travailler en équipe,1.0,5,Oui,3,"Vous pouvez vous habiller comme vous voulez, Vous dormez mieux, Vous perdez moins de temps dans les transports, Vous avez davantage de temps libre",Jamais,Non,3,3,4,Un peu,Petite et moyenne entreprise (10 à 250 salariés),5.0,"Oui, une fois de temps en temps",Plus d'une heure,2,Employé,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Grossir,Ne pas pouvoir aller chez le coiffeur,Avoir des projets annulés",Une femme,"Oui, un jardin",100.0,3,11,"Les interactions à distance avec vos proches,La présence d'autres personnes",2.50339683029,48.6889749341,Aucune,"A télétravailler, A faire plus attention à mes proches",3.0,3.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,4,2.0,5,"Non, je les utilisais déjà beaucoup",31.0,4,Une fois dans la semaine ou moins,3,4,"C'est difficile de se concentrer,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",0.0,1,Oui,2,"Votre entreprise s'organise mieux, Vous dormez mieux, Vous perdez moins de temps dans les transports",2 fois par semaine ou plus,Mon travail est plus étalé sur la journée et le soir,3,4,3,Non pas du tout,Très petite entreprise (moins de 10 salariés),2.0,Comme avant (si vous en faisiez déjà),Plus d'une heure,1,Cadre ou profession intellectuelle supérieure,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter",Un homme,"Oui, un jardin",120.0,5,11,"La situation liée au Covid 19,Vous regardez très régulièrement l'actualité,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",2.50339683029,48.6889749341,Aucune,"A télétravailler, A être plus autonome",3.0,4.0,En couple et nous sommes confinés ensemble
4,Dans votre domicile,4,3.0,5,Beaucoup,51.0,5,Un jour sur deux ou moins,5,4,Vous vous sentez isolé.e,"Oui, on est plus proches","Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,5,Oui,3,"Votre entreprise s'organise mieux, Vous perdez moins de temps dans les transports, Vous ressentez moins de pression professionnelle et êtes plus détendu.e",2 fois par semaine ou plus,Non,3,2,4,Non pas du tout,Institution publique,3.0,Comme avant (si vous en faisiez déjà),Plus d'une heure,5,Cadre ou profession intellectuelle supérieure,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir aller chez le coiffeur,Avoir des projets annulés,Ne pas pouvoir aller au bureau",Une femme,"Oui, un jardin",80.0,5,11,"Les interactions à distance avec vos proches,Vous n'êtes pas particulièrement distrait.e,Vous regardez très régulièrement l'actualité",2.50339683029,48.6889749341,Aucune,A faire plus attention à mes proches,4.0,3.0,En couple mais nous ne sommes pas confinés ensemble
3,Dans votre domicile,2,2.0,3,Un peu,33.0,3,Deux fois ou plus par jour,2,4,"La communication avec vos collègues est moins fluide,C'est difficile de se concentrer","Oui, on est plus proches","Vous travaillez seul la plupart du temps,Travailler en équipe",0.0,4,Oui,2,"Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous pouvez faire des pauses dans la journée",Jamais,Mon travail est plus étalé sur la journée,3,1,3,Non pas du tout,Institution publique,2.0,"Oui, une fois de temps en temps",De 10 à 30min,4,Employé,2,Aucune,Une femme,"Oui, une terrasse ou un balcon",80.0,3,11,"Les tâches ménagères,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",2.50339683029,48.6889749341,Aucune,"A être plus empathique, A faire plus attention à mes proches, A changer mes priorités",4.0,4.0,En couple et nous sommes confinés ensemble
4,Dans votre domicile,2,3.0,5,Beaucoup,34.0,2,Une fois par jour,2,4,"La communication avec vos collègues est moins fluide,Vous avez l'impression de ne jamais vous arrêter de travailler","Non, nos relations se détériorent légèrement","Travailler en équipe,Manager des équipes ou des projets",1.0,4,Non,3,"Vous êtes plus concentré.e sur votre travail, Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Jamais,Non,3,3,4,Non pas du tout,Institution publique,2.0,"Oui, une fois de temps en temps",De 10 à 30min,3,Profession intermédiaire,3,"Ne pas pouvoir sortir dehors,Avoir des projets annulés,Vous avez des sautes d'humeur,La santé de vos proches,Les gens qui sortent,la quarantaine devrait être plus stricte",Un homme,"Oui, une terrasse ou un balcon",75.0,4,11,"Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les tâches ménagères,La présence d'autres personnes",2.50339683029,48.6889749341,1-3 personnes,"A télétravailler, A être plus autonome, A faire plus attention à mes proches, A changer mes priorités",3.0,3.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,5,1.0,4,Un peu,56.0,4,Un jour sur deux ou moins,3,4,"Les journées en télétravail sont plus fatiguantes,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,Manager des équipes ou des projets,0.0,5,Oui,4,"Vous perdez moins de temps dans les transports, Vous êtes plus concentré.e sur votre travail",1 fois par semaine,Mon travail est plus étalé sur la journée et le soir,4,3,4,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),2.0,Comme avant (si vous en faisiez déjà),Plus d'une heure,2,Cadre ou profession intellectuelle supérieure,3,"La santé de vos proches,Grossir,Avoir des projets annulés,Ne pas pouvoir aller au bureau,Vous vous sentez seul.e,Vous dormez mal",Une femme,"Oui, un jardin",80.0,5,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.6889749341,1-3 personnes,A faire plus attention à mes proches,2.0,3.0,Célibataire
3,Dans votre domicile,4,3.0,2,Un peu,53.0,4,Une fois dans la semaine ou moins,5,4,"La communication avec vos collègues est moins fluide,Les journées en télétravail sont plus fatiguantes,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,Aucun des choix précédents,0.0,4,Oui,3,"Vous en profitez pour apprendre de nouvelles choses, Vous perdez moins de temps dans les transports, Vous êtes plus concentré.e sur votre travail",2 fois par semaine ou plus,"Mon travail est plus étalé sur la journée, le soir et même le weekend",3,3,3,Un peu,Grande entreprise (plus de 5000 salariés),3.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,3,Employé,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Avoir des projets annulés",Un homme,"Oui, un jardin",150.0,2,11,"Les interactions à distance avec vos proches,Vous regardez très régulièrement l'actualité,La situation liée au Covid 19",2.50339683029,48.6889749341,1-3 personnes,"A télétravailler, A faire plus attention à mes proches, A changer mes priorités",3.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre résidence secondaire,3,6.0,5,"Non, je les utilisais déjà beaucoup",27.0,5,Une fois dans la semaine ou moins,2,4,"La communication avec vos collègues est moins fluide,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,Travailler en équipe,0.0,3,Oui,3,"Vous dormez mieux, Vous perdez moins de temps dans les transports, Votre entreprise s'organise mieux",Exceptionnellement,Non,4,4,4,Un peu,Entreprise de taille intermédiaire (250 à 5000 salariés),0.0,"Oui, une fois de temps en temps",De 10 à 30min,2,Cadre ou profession intellectuelle supérieure,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Grossir,Avoir des projets annulés,Ne pas pouvoir sortir dehors",Un homme,"Oui, un jardin",200.0,2,11,"La situation liée au Covid 19,La présence d'autres personnes,Vous regardez très régulièrement l'actualité",2.50339683029,48.6889749341,1-3 personnes,"A être plus empathique, A faire plus attention à mes proches, A changer mes priorités",4.0,3.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,2,1.0,4,"Non, je les utilisais déjà beaucoup",25.0,3,Un jour sur deux ou moins,4,4,"C'est difficile de se concentrer,Vous vous sentez isolé.e",C'est pareil,Vous travaillez seul la plupart du temps,0.0,3,Oui,2,"Vous dormez mieux, Vous perdez moins de temps dans les transports, Vous avez davantage de temps libre",Jamais,Mon travail est plus étalé sur la journée,2,1,3,Non pas du tout,Grande entreprise (plus de 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Cadre ou profession intellectuelle supérieure,3,"La santé de vos proches,Ne pas pouvoir sortir dehors,Vous vous sentez seul.e,Vous avez des sautes d'humeur",Un homme,"Oui, une cour",40.0,3,11,"Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Vous regardez très régulièrement l'actualité",2.50339683029,48.6889749341,1-3 personnes,"A être plus empathique, A être plus autonome, A changer mes priorités",1.0,5.0,Célibataire
2,Dans votre domicile,4,3.0,4,"Non, je les utilisais déjà beaucoup",32.0,4,Un jour sur deux ou moins,4,4,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,La communication avec vos collègues est moins fluide","Non, nos relations se détériorent légèrement","Manager des équipes ou des projets,Travailler en équipe",2.0,4,Oui,2,"Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Exceptionnellement,Non,4,4,4,Un peu,Entreprise de taille intermédiaire (250 à 5000 salariés),4.0,"Oui, une fois de temps en temps",Plus d'une heure,1,Cadre ou profession intellectuelle supérieure,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,La santé de vos proches",Un homme,"Oui, un jardin",95.0,5,11,La présence d'autres personnes,2.50339683029,48.6889749341,1-3 personnes,"A faire plus attention à mes proches, A changer mes priorités",3.0,3.0,En couple mais nous ne sommes pas confinés ensemble
2,Dans votre domicile,3,2.0,4,"Non, je les utilisais déjà beaucoup",37.0,3,Une fois dans la semaine ou moins,2,5,"Vous avez l'impression de ne jamais vous arrêter de travailler,C'est difficile de se concentrer,Plus de vie : on n'a juste le droit de travailler toute la journée,envahissement total de la sphère personnelle",C'est pareil,Vous travaillez seul la plupart du temps,0.0,2,Oui,1,"Vous perdez moins de temps dans les transports, Vous dormez mieux",Exceptionnellement,Non,4,3,3,Non pas du tout,Grande entreprise (plus de 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Cadre ou profession intellectuelle supérieure,1,"Les gens qui sortent,la quarantaine devrait être plus stricte,Avoir des projets annulés,Ne pas pouvoir sortir dehors,Vous avez des sautes d'humeur,La santé de vos proches,l'impression d'être seule à travailler à temps plein tous les jours quand je vois tout le monde dehors et les médias qui parlent ""d'ennui""",Une femme,"Oui, une terrasse ou un balcon",62.0,5,11,ENVAHISSEMENT DU TRAVAIL DANS LA SPHERE PERSONNELLE_ PAS DE DECOMPRESSION POSSIBLE,2.50339683029,48.6889749341,Aucune,la liberté c'est précieux,1.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,1,2.0,4,"Non, je les utilisais déjà beaucoup",24.0,4,Une fois dans la semaine ou moins,3,3,"C'est difficile de se concentrer,La communication avec vos collègues est moins fluide","Oui, on est plus proches",Travailler en équipe,0.0,3,Non,1,"Vous pouvez vous habiller comme vous voulez, Vous avez davantage de temps libre, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",Tous les jours,Non,3,2,3,Un peu,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,"Oui, le plus possible",De 10 à 30min,1,Employé,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Grossir,Ne pas pouvoir aller chez le coiffeur,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Un homme,Aucun espace extérieur,27.0,5,11,"Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les tâches ménagères",2.50339683029,48.6889749341,Aucune,A faire plus attention à mes proches,3.0,3.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,2,2.0,1,Un peu,61.0,3,Un jour sur deux ou moins,2,4,"La communication avec vos collègues est moins fluide,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,C'est difficile de se concentrer",C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",0.0,2,Oui,2,"Vous pouvez vous habiller comme vous voulez, Vous pouvez faire des pauses dans la journée",Jamais,"Mon travail est plus étalé sur la journée, le soir et même le weekend",2,2,2,Non pas du tout,Institution publique,2.0,Non,De 10 à 30min,2,Cadre ou profession intellectuelle supérieure,3,Aucune,Un homme,"Oui, une terrasse ou un balcon",82.0,2,11,"Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les interactions à distance avec vos proches,La présence d'autres personnes",2.50339683029,48.6889749341,1-3 personnes,A changer mes priorités,3.0,4.0,En couple et nous sommes confinés ensemble
4,Dans votre domicile,3,1.0,3,Beaucoup,27.0,3,Une fois dans la semaine ou moins,5,4,"C'est difficile de se concentrer,Vous vous sentez isolé.e,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent",C'est pareil,Travailler en équipe,0.0,5,Oui,2,"Vous êtes plus concentré.e sur votre travail, Vous avez davantage de temps libre, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée",Jamais,Mon travail est plus étalé sur la journée et le soir,2,3,4,Non pas du tout,Grande entreprise (plus de 5000 salariés),2.0,"Oui, le plus possible",Moins de 10min,4,Cadre ou profession intellectuelle supérieure,1,"Les gens qui sortent,la quarantaine devrait être plus stricte,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Vous vous sentez seul.e,Ne pas voir ses amis",Un homme,"Oui, une cour",55.0,4,11,"Les interactions à distance avec vos proches,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Beaucoup de réunions qui scinde la journée et le temps consacré aux tâches solo",2.50339683029,48.6889749341,1-3 personnes,"A télétravailler, A être plus autonome, A faire plus attention à mes proches, A changer mes priorités",2.0,3.0,Célibataire
3,Dans votre domicile,2,3.0,4,Beaucoup,50.0,5,Une fois par jour,3,3,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,Travailler en équipe,1.0,3,Oui,4,"Vous êtes plus concentré.e sur votre travail, Vous pouvez vous habiller comme vous voulez, Vous perdez moins de temps dans les transports",1 fois par semaine,Oui car je suis en chômage partiel,4,3,3,Beaucoup,Grande entreprise (plus de 5000 salariés),3.0,"Oui, une fois de temps en temps",De 30min à 1h,2,Cadre ou profession intellectuelle supérieure,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Une femme,"Oui, un jardin",140.0,4,11,"Vous n'êtes pas particulièrement distrait.e,La situation liée au Covid 19",2.50339683029,48.6889749341,4-9 personnes,"A changer mes priorités, A être plus empathique, A faire plus attention à mes proches",2.0,3.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,4,1.0,1,Un peu,30.0,3,Une fois dans la semaine ou moins,2,4,"Vous vous sentez isolé.e,Les journées en télétravail sont plus fatiguantes",C'est pareil,Travailler en équipe,0.0,4,Oui,3,Vous perdez moins de temps dans les transports,Exceptionnellement,Mon travail est plus étalé sur la journée et le soir,2,3,2,Non pas du tout,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,"Oui, une fois de temps en temps",De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Vous vous sentez seul.e",Une femme,Aucun espace extérieur,25.0,4,11,Vous regardez très régulièrement l'actualité,2.50339683029,48.6889749341,1-3 personnes,A changer mes priorités,2.0,3.0,Célibataire
3,Dans votre domicile,3,4.0,4,"Non, je les utilisais déjà beaucoup",48.0,4,Une fois dans la semaine ou moins,4,4,"Vous vous sentez isolé.e,La communication avec vos collègues est moins fluide,Vous avez l'impression de ne jamais vous arrêter de travailler","Oui, on est plus proches","Manager des équipes ou des projets,Travailler en équipe",0.0,4,Je n'en ai pas besoin,3,"Vous êtes plus concentré.e sur votre travail, Vous avez davantage de temps libre, Vous dormez mieux, Vous perdez moins de temps dans les transports",1 fois par semaine,Mon travail est plus étalé sur la journée,3,3,4,Un peu,Entreprise de taille intermédiaire (250 à 5000 salariés),4.0,"Oui, le plus possible",De 30min à 1h,4,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Avoir des projets annulés",Un homme,"Oui, un jardin",120.0,3,11,"La situation liée au Covid 19,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail",2.50339683029,48.6889749341,1-3 personnes,"A faire plus attention à mes proches, A être plus autonome",4.0,3.0,En couple et nous sommes confinés ensemble
4,Dans votre domicile,3,2.0,5,Un peu,23.0,3,Un jour sur deux ou moins,3,3,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,"Oui, on est plus proches",Travailler en équipe,0.0,4,Oui,4,"Vous êtes plus concentré.e sur votre travail, Vous avez davantage de temps libre, Vous dormez mieux, Vous perdez moins de temps dans les transports",Exceptionnellement,Mon travail est plus étalé sur la journée et le soir,4,3,4,Non pas du tout,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,"Oui, le plus possible",Plus d'une heure,3,Cadre ou profession intellectuelle supérieure,2,"Grossir,Ne pas pouvoir sortir dehors,Les gens qui sortent,la quarantaine devrait être plus stricte",Un homme,"Oui, une terrasse ou un balcon",100.0,4,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.6889749341,1-3 personnes,"A télétravailler, A être plus autonome",4.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,2,1.0,4,Un peu,40.0,1,Une fois dans la semaine ou moins,2,4,"C'est difficile de se concentrer,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent",C'est pareil,"Vous travaillez seul la plupart du temps,Manager des équipes ou des projets,Travailler en équipe",0.0,5,Oui,1,Vous ressentez moins de pression professionnelle et êtes plus détendu.e,Jamais,Non,3,5,4,Non pas du tout,Entreprise individuelle ou indépendant,2.0,Comme avant (si vous en faisiez déjà),Moins de 10min,3,Profession libérale ou dirigeant,3,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Avoir des projets annulés",Une femme,"Oui, une terrasse ou un balcon",55.0,5,11,"La situation liée au Covid 19,Les tâches ménagères,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Vous regardez très régulièrement l'actualité,Les interactions à distance avec vos proches,La présence d'autres personnes",2.50339683029,48.6889749341,4-9 personnes,Rien,4.0,4.0,Célibataire
2,Dans votre domicile,4,3.0,3,Un peu,34.0,2,Une fois dans la semaine ou moins,2,3,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,La communication avec vos collègues est moins fluide,Vous avez l'impression de ne jamais vous arrêter de travailler","Oui, on est plus proches","Manager des équipes ou des projets,Travailler en équipe",1.0,4,Oui,3,"Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous interagissez davantage avec les personnes qui vous entourent, Vous dormez mieux, Vous perdez moins de temps dans les transports",Jamais,"Mon travail est plus étalé sur la journée, le soir et même le weekend",4,5,4,Non pas du tout,Institution publique,2.0,"Oui, le plus possible",De 30min à 1h,2,Cadre ou profession intellectuelle supérieure,1,"La santé de vos proches,Grossir",Un homme,"Oui, une terrasse ou un balcon",80.0,4,11,La présence d'autres personnes,2.50339683029,48.6889749341,Aucune,"A télétravailler, A être plus autonome",4.0,3.0,Célibataire
3,Dans votre résidence secondaire,4,3.0,5,Beaucoup,59.0,5,Une fois par jour,5,5,"La communication avec vos collègues est moins fluide,Vous avez l'impression de ne jamais vous arrêter de travailler,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent","Non, nos relations se détériorent légèrement",Travailler en équipe,0.0,1,Oui,4,"Vous pouvez vous habiller comme vous voulez, Vous perdez moins de temps dans les transports, Vous êtes plus concentré.e sur votre travail",Exceptionnellement,Mon travail est plus étalé sur la journée et le soir,4,3,4,Non pas du tout,Institution publique,0.0,"Oui, une fois de temps en temps",De 10 à 30min,3,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Ne pas pouvoir aller chez le coiffeur,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Ne pas pouvoir aller au bureau",Une femme,"Oui, un jardin",150.0,5,11,"La situation liée au Covid 19,Vous regardez très régulièrement l'actualité,Les tâches ménagères",2.50339683029,48.6889749341,1-3 personnes,"A changer mes priorités, A être plus empathique",3.0,5.0,En couple et nous sommes confinés ensemble
1,Dans votre domicile,3,2.0,2,"Non, je les utilisais déjà beaucoup",26.0,4,Une fois dans la semaine ou moins,1,4,Vous avez l'impression de ne jamais vous arrêter de travailler,"Non, nos relations se détériorent légèrement",Vous travaillez seul la plupart du temps,0.0,2,Oui,1,Vous pouvez faire des pauses dans la journée,Exceptionnellement,"Mon travail est plus étalé sur la journée, le soir et même le weekend",3,3,1,Beaucoup,Institution publique,2.0,Non,De 10 à 30min,3,Etudiant,1,La santé de vos proches,Une femme,"Oui, une terrasse ou un balcon",40.0,5,11,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,2.50339683029,48.6889749341,Aucune,A changer mes priorités,1.0,2.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,3,1.0,5,Beaucoup,46.0,3,Une fois dans la semaine ou moins,5,3,La communication avec vos collègues est moins fluide,C'est pareil,"Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,3,Oui,4,"Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous êtes plus concentré.e sur votre travail",Jamais,Non,3,3,5,Non pas du tout,Institution publique,2.0,"Oui, le plus possible",De 10 à 30min,2,Profession intermédiaire,3,Ne pas pouvoir sortir dehors,Une femme,"Oui, un jardin",90.0,5,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.6889749341,Aucune,A télétravailler,4.0,3.0,Célibataire
5,Dans votre domicile,4,1.0,4,"Non, je les utilisais déjà beaucoup",36.0,3,Une fois dans la semaine ou moins,3,2,"Honnêtement,je n'en vois aucune :)",C'est pareil,"Travailler en équipe,Manager des équipes ou des projets",0.0,3,Oui,5,"Vous êtes plus concentré.e sur votre travail, Vous pouvez vous habiller comme vous voulez, Vous perdez moins de temps dans les transports",Exceptionnellement,Non,3,2,5,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, tous les jours",De 10 à 30min,3,Employé,3,"La santé de vos proches,Avoir des projets annulés,Le manque d'équipement des services de soins,ou de ceux qui n'ont pas d'autre choix que de sortir. Je ne m'inquiète pas QUE pour moi et mes proches en somme.",Une femme,"Oui, une terrasse ou un balcon",20.0,4,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.6889749341,4-9 personnes,A réaliser que j'aurai fait un bon ermite (enfin avec internet dans la grotte...),5.0,4.0,Célibataire
